Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1-Score,Test F1-Score
KNN (K=5),0.9651474530831099,0.921875,0.9656828354637355,0.9232915733482642,0.9651474530831099,0.921875,0.9648818291317417,0.9209649298152097
"SVM (RBF, One-vs-One)",0.9839142091152815,0.95,0.9840163538186952,0.9511450738472119,0.9839142091152815,0.95,0.9838915759246375,0.9497958688876122
"MLP-v1 (100, 50, Dropout=0.1)",0.9993297587131368,0.9640625,0.9993311072871546,0.9642050865703039,0.9993297587131368,0.9640625,0.9993297573481903,0.9641092203293933
"MLP-v2 (500, 300, Dropout=0.2)",0.9979892761394102,0.971875,0.9980013646596141,0.9724348634570864,0.9979892761394102,0.971875,0.9979892882765152,0.9720008473994692
